CustomerID,CustomerName,CustomerType
C000001,Madhavi Saran,Individual
C000002,Yatan Sarna,Corporate
C000003,Idika Salvi,Corporate
C000004,Sara Balakrishnan,Architect
C000005,Ubika Brar,Builder
C000006,Chakradhar Rout,Builder
C000007,Eshana Jha,Contractor
C000008,Benjamin Pai,Individual
C000009,Lopa Hayre,Builder
C000010,Ekansh Karpe,Corporate
C000011,Harshil Krishnamurthy,Individual
C000012,Ishani Manda,Individual
C000013,Balhaar Ahuja,Architect
C000014,Caleb Kale,Builder
C000015,Chaitanya Chandra,Architect
C000016,Aradhana Patel,Builder
C000017,Chandresh Jayaraman,Contractor
C000018,Chandani Venkatesh,Architect
C000019,Maanav Lall,Architect
C000020,Suhani Madan,Corporate
C000021,Tanish Dey,Architect
C000022,Jagvi Amble,Builder
C000023,Yochana Kumer,Corporate
C000024,Aarna Ramakrishnan,Architect
C000025,Azaan Gulati,Architect
C000026,Neel Garde,Contractor
C000027,Bhanumati Koshy,Architect
C000028,Adweta Palla,Individual
C000029,Praneel Ahuja,Corporate
C000030,Omkaar Mane,Individual
C000031,Aradhana Batta,Corporate
C000032,Mugdha Nadkarni,Contractor
C000033,Ekaraj Contractor,Architect
C000034,Dayamai Sarin,Architect
C000035,Tristan Sethi,Architect
C000036,Manbir Srivastava,Corporate
C000037,Ladli Sem,Architect
C000038,Jairaj Savant,Individual
C000039,Fariq Walla,Architect
C000040,Abhiram Chaudhary,Contractor
C000041,Girik Dara,Individual
C000042,Aayush Tailor,Architect
C000043,Tanmayi Krishnamurthy,Architect
C000044,Andrew Swamy,Builder
C000045,Kamala Kothari,Corporate
C000046,Brijesh Bhagat,Individual
C000047,Vamakshi Kannan,Builder
C000048,Vrishti Chakrabarti,Contractor
C000049,Guneet Purohit,Corporate
C000050,Shivani Narasimhan,Individual
C000051,Yoshita Sharma,Architect
C000052,Chakradhar Bajaj,Individual
C000053,Imaran Pall,Architect
C000054,Avni Hayre,Corporate
C000055,Anmol Kapoor,Architect
C000056,Vihaan Tank,Contractor
C000057,Charvi Mitter,Architect
C000058,Kritika Morar,Contractor
C000059,Nitara Balan,Corporate
C000060,Yashawini Kant,Corporate
C000061,Madhav Subramaniam,Individual
C000062,Liam Menon,Contractor
C000063,Lipika Kamdar,Contractor
C000064,Tarak Randhawa,Builder
C000065,Vinaya Bahri,Builder
C000066,Abhiram Dyal,Builder
C000067,Girindra Kashyap,Architect
C000068,Sachi Bhardwaj,Builder
C000069,Girindra Nath,Contractor
C000070,Ati Shere,Architect
C000071,Triya Ravi,Corporate
C000072,Megha Golla,Individual
C000073,Ikshita Bath,Builder
C000074,Shravya Arya,Corporate
C000075,Upadhriti Sathe,Contractor
C000076,Zarna Pai,Individual
C000077,Arya Agarwal,Corporate
C000078,Leena Shukla,Individual
C000079,Bakhshi Rau,Builder
C000080,Dominic Dash,Contractor
C000081,Akshay Guha,Individual
C000082,Ucchal Yohannan,Corporate
C000083,Naksh Vaidya,Builder
C000084,Zarna Prakash,Builder
C000085,Aarnav Dugal,Corporate
C000086,Leela Rajagopal,Corporate
C000087,Jonathan Ram,Individual
C000088,Amol Hora,Architect
C000089,Dhriti Kota,Builder
C000090,Isaiah Sehgal,Individual
C000091,Vamakshi Keer,Corporate
C000092,Hemal Bains,Individual
C000093,Yauvani Zachariah,Corporate
C000094,Nihal Narain,Contractor
C000095,Janya Arora,Corporate
C000096,Chasmum Solanki,Corporate
C000097,Megha Bajaj,Corporate
C000098,Oviya Rau,Architect
C000099,Ikshita Nair,Corporate
C000100,Aarnav Murthy,Builder
C000101,Damini Guha,Builder
C000102,Chavvi Ramakrishnan,Individual
C000103,Vrinda Apte,Architect
C000104,Pushti Lad,Individual
C000105,Jeremiah Randhawa,Builder
C000106,Yashica Trivedi,Builder
C000107,Teerth Kalita,Contractor
C000108,Mahika Singh,Corporate
C000109,Upma Shetty,Builder
C000110,Nikita More,Individual
C000111,Anya Kulkarni,Individual
C000112,Yahvi Dhar,Corporate
C000113,Brinda Varty,Corporate
C000114,Xalak Pillai,Contractor
C000115,Alexander Balay,Architect
C000116,Mahika Bobal,Individual
C000117,Tara Rout,Corporate
C000118,Amol Karpe,Individual
C000119,Wriddhish Rout,Corporate
C000120,Nathaniel Wadhwa,Builder
C000121,Qushi Luthra,Individual
C000122,Victor Swamy,Builder
C000123,Gaurangi Varty,Individual
C000124,Noah Yohannan,Architect
C000125,Darsh Loyal,Contractor
C000126,George Sama,Builder
C000127,Ishwar Koshy,Corporate
C000128,Gopal Bath,Architect
C000129,Akshay Choudhary,Individual
C000130,Ekta Buch,Builder
C000131,Zilmil Vasa,Individual
C000132,Mohammed Sane,Individual
C000133,Shaurya Dash,Individual
C000134,Leela Prakash,Contractor
C000135,Garima Sarkar,Contractor
C000136,Benjamin Sangha,Corporate
C000137,Ishita Madan,Builder
C000138,Harinakshi Gupta,Architect
C000139,Zilmil Lalla,Architect
C000140,Ladli Naik,Architect
C000141,Ekani Sarna,Individual
C000142,Omisha Ganesh,Contractor
C000143,Alka Kala,Builder
C000144,Nachiket Kumer,Individual
C000145,Chanakya Jain,Contractor
C000146,Sanaya Bava,Contractor
C000147,Vidhi Sur,Builder
C000148,Sathvik Iyer,Builder
C000149,Aryan Warrior,Builder
C000150,Pushti Naidu,Individual
C000151,Neelima Zachariah,Corporate
C000152,Jack Kalita,Builder
C000153,Bina Sidhu,Corporate
C000154,Ikbal Sethi,Individual
C000155,Upkaar Om,Corporate
C000156,Balveer Rajagopalan,Architect
C000157,Sneha Sathe,Corporate
C000158,Falguni Mistry,Builder
C000159,Qasim Dutta,Individual
C000160,Orinder Kapur,Builder
C000161,Warinder Pathak,Architect
C000162,Nakul Khatri,Builder
C000163,Balendra Doshi,Builder
C000164,Unnati Dey,Builder
C000165,Ranveer Patil,Contractor
C000166,Azaan Boase,Architect
C000167,Jagvi Tiwari,Builder
C000168,Prisha Sen,Builder
C000169,Aadi Saran,Builder
C000170,Aachal Dass,Individual
C000171,Raghav Chand,Contractor
C000172,Zayyan Aggarwal,Individual
C000173,Eesha More,Contractor
C000174,Anita Kapadia,Builder
C000175,Victor Dugar,Architect
C000176,Zashil Chandra,Corporate
C000177,Nicholas Varty,Corporate
C000178,Vidhi Karan,Builder
C000179,Girindra Gaba,Individual
C000180,Yamini Dutta,Architect
C000181,Zarna Rana,Contractor
C000182,Oscar Bir,Builder
C000183,Ansh Wable,Architect
C000184,Lopa Kala,Architect
C000185,Unnati Gupta,Contractor
C000186,Chandani Vasa,Architect
C000187,Ikshita Bhardwaj,Individual
C000188,Dominic Kale,Individual
C000189,Urishilla Shetty,Individual
C000190,Januja Pillay,Architect
C000191,Banjeet Bhargava,Individual
C000192,Lekha Tandon,Contractor
C000193,Qasim Sarraf,Architect
C000194,Chaaya Peri,Corporate
C000195,Shravya Hari,Architect
C000196,Oliver Hans,Contractor
C000197,Adweta Gill,Corporate
C000198,Abha Shanker,Architect
C000199,Harita Modi,Individual
C000200,Kala Chandra,Builder
C000201,Upma Padmanabhan,Builder
C000202,Wakeeta Rajagopalan,Individual
C000203,Pahal Soni,Builder
C000204,Chanchal Gokhale,Builder
C000205,Aarini Agarwal,Individual
C000206,Pavani Barad,Individual
C000207,Vivaan Viswanathan,Architect
C000208,Aarini Sen,Architect
C000209,Nandini Ghosh,Individual
C000210,Maanav Behl,Contractor
C000211,Yadavi Kala,Builder
C000212,Falak Sathe,Architect
C000213,Rishi Mahal,Builder
C000214,Chakradev Khalsa,Corporate
C000215,Kritika Kothari,Individual
C000216,Oeshi Purohit,Contractor
C000217,Neha Kota,Corporate
C000218,Dhriti Sanghvi,Corporate
C000219,Shravya Doshi,Corporate
C000220,Vidhi Yogi,Individual
C000221,Indira Ramakrishnan,Architect
C000222,Balveer Dora,Individual
C000223,Omaja Varty,Architect
C000224,Lakshit Khare,Corporate
C000225,Jagvi Goda,Corporate
C000226,Gabriel Ganesan,Contractor
C000227,Wahab Palla,Architect
C000228,Fiyaz Subramaniam,Corporate
C000229,Christopher Sama,Builder
C000230,Oviya Narayan,Contractor
C000231,Yashoda Boase,Individual
C000232,Udant Bera,Contractor
C000233,Wriddhish Sethi,Builder
C000234,Farhan Dutt,Architect
C000235,Benjamin Shanker,Individual
C000236,Arjun Gera,Individual
C000237,Aahana Saini,Architect
C000238,Anthony Dave,Contractor
C000239,Vaishnavi Pillai,Corporate
C000240,Dhriti Doctor,Contractor
C000241,Akshay Bail,Builder
C000242,Matthew Dayal,Corporate
C000243,Chanakya Mukhopadhyay,Contractor
C000244,Vrinda Mannan,Architect
C000245,Damini Goswami,Builder
C000246,Abha Handa,Builder
C000247,Oeshi Tandon,Builder
C000248,Baghyawati Panchal,Corporate
C000249,Warhi Master,Individual
C000250,Chaitanya Pau,Corporate
C000251,Libni Mall,Contractor
C000252,Tejas Chatterjee,Individual
C000253,Vedika Kuruvilla,Contractor
C000254,Ansh Deol,Individual
C000255,Ekanta Sane,Corporate
C000256,Harinakshi Chakraborty,Builder
C000257,Maya Karnik,Architect
C000258,Inaya Nayak,Builder
C000259,Krishna Kapadia,Corporate
C000260,Aradhana Sarna,Individual
C000261,Azaan Shetty,Builder
C000262,Meera Joshi,Corporate
C000263,Bahadurjit Munshi,Contractor
C000264,Anirudh Bahri,Architect
C000265,Jyoti Ghose,Builder
C000266,Krish Apte,Individual
C000267,Mohini Dutta,Contractor
C000268,Advik Soni,Corporate
C000269,Adweta Edwin,Architect
C000270,Chaaya Varughese,Individual
C000271,Advay Bath,Corporate
